locusnum,snpid,geneid,chrnum,chrpos,A1,A2,zscore_SCHI,zscore_FATH,zscore_BORN,zscore_BROT,zscore_SIST,zscore_BIRT,zscore_TERM,conjfdr_SCHI_FATH,prune_SCHI_FATH,conjfdr_SCHI_BORN,prune_SCHI_BORN,conjfdr_SCHI_BROT,prune_SCHI_BROT,conjfdr_SCHI_SIST,prune_SCHI_SIST,conjfdr_SCHI_BIRT,prune_SCHI_BIRT,conjfdr_SCHI_TERM,prune_SCHI_TERM,min_conjfdr,pval_SCHI,pval_FATH,pval_BORN,pval_BROT,pval_SIST,pval_BIRT,pval_TERM
5,,,3,85539078,,,3.336788,6.961143,4.410015,3.396123,-0.816246,5.974837,1.355300,1.777289e-02,0,3.521461e-02,0,7.936400e-03,0,8.270039e-01,0,2.909593e-02,0,6.858904e-01,0,7.936400e-03,8.475254e-04,3.375222e-12,1.033635e-05,6.834767e-04,4.143596e-01,2.303206e-09,1.753220e-01
5,,,3,85539234,,,3.311424,6.941333,NaN,3.381066,-0.816246,6.013189,1.319343,1.925365e-02,0,NaN,0,8.449792e-03,0,8.270039e-01,0,3.101579e-02,0,6.916316e-01,0,8.449792e-03,9.282250e-04,3.884159e-12,NaN,7.220518e-04,4.143596e-01,1.819093e-09,1.870544e-01
5,,,3,85540764,,,3.316669,6.941333,NaN,3.385348,-0.826949,6.016035,1.319343,1.894825e-02,0,NaN,0,8.343907e-03,0,8.227360e-01,0,3.061983e-02,0,6.916316e-01,0,8.343907e-03,9.109749e-04,3.884159e-12,NaN,7.108808e-04,4.082657e-01,1.787413e-09,1.870544e-01
5,,,3,85544283,,,3.323478,6.937628,NaN,3.386616,-0.829005,6.003632,1.318104,1.855114e-02,0,NaN,0,8.206225e-03,0,8.219134e-01,0,3.010496e-02,0,6.918278e-01,0,8.206225e-03,8.890233e-04,3.987371e-12,NaN,7.076045e-04,4.071015e-01,1.929520e-09,1.874688e-01
5,,,3,85545866,,,3.327006,6.939212,NaN,3.395741,-0.831755,5.999393,1.322451,1.834511e-02,0,NaN,0,8.134796e-03,0,8.208117e-01,0,2.983785e-02,0,6.911393e-01,0,8.134796e-03,8.778440e-04,3.942921e-12,NaN,6.844316e-04,4.055475e-01,1.980571e-09,1.860181e-01
5,,,3,85546701,,,3.327369,6.939212,4.431707,3.396219,-0.826436,6.003705,1.322451,1.832394e-02,0,3.627016e-02,0,8.127454e-03,0,8.229411e-01,0,2.981039e-02,0,6.911393e-01,0,8.127454e-03,8.767029e-04,3.942921e-12,9.348992e-06,6.832378e-04,4.085566e-01,1.928653e-09,1.860181e-01
5,,,3,85548686,,,3.320947,6.937700,NaN,3.429243,-0.845126,5.992292,1.339476,1.869881e-02,0,NaN,0,8.257426e-03,0,8.154442e-01,0,3.029643e-02,0,6.884288e-01,0,8.257426e-03,8.971241e-04,3.985352e-12,NaN,6.052676e-04,3.980404e-01,2.069043e-09,1.804157e-01
5,,,3,85550080,,,3.316497,6.939503,NaN,3.403937,-0.823706,6.000031,1.329022,1.895824e-02,0,NaN,0,8.347370e-03,0,8.240320e-01,0,3.063278e-02,0,6.900957e-01,0,8.347370e-03,9.115340e-04,3.934827e-12,NaN,6.642210e-04,4.101067e-01,1.972801e-09,1.838408e-01
5,,,3,85551403,,,3.287986,6.890886,4.579706,3.402843,-0.950115,6.068122,1.265923,2.064250e-02,0,4.070556e-02,0,8.929090e-03,0,7.851363e-01,0,3.280467e-02,0,7.014208e-01,0,8.929090e-03,1.009067e-03,5.544599e-12,4.656289e-06,6.668867e-04,3.420536e-01,1.294149e-09,2.055406e-01
5,,,3,85551820,,,3.312093,6.959409,4.442764,3.398142,-0.836417,6.002904,1.341714,1.921474e-02,0,3.797649e-02,0,8.436299e-03,0,8.189397e-01,0,3.096533e-02,0,6.880709e-01,0,8.436299e-03,9.260088e-04,3.417034e-12,8.881058e-06,6.784512e-04,4.029205e-01,1.938193e-09,1.796887e-01
5,,,3,85552787,,,3.307133,6.940598,NaN,3.423496,-0.829005,5.979900,1.341074,1.950320e-02,0,NaN,0,8.536313e-03,0,8.219134e-01,0,3.133934e-02,0,6.881733e-01,0,8.536313e-03,9.425626e-04,3.904443e-12,NaN,6.182126e-04,4.071015e-01,2.232745e-09,1.798964e-01
5,,,3,85561808,,,3.323064,6.900562,NaN,3.420415,-0.847759,5.992628,1.360219,1.857532e-02,0,NaN,0,8.214609e-03,0,8.147053e-01,0,3.013631e-02,0,6.850975e-01,0,8.214609e-03,8.903447e-04,5.179729e-12,NaN,6.252566e-04,3.965724e-01,2.064767e-09,1.737607e-01
5,,,3,85565494,,,3.367695,6.911902,NaN,3.427761,-0.861061,5.951656,1.391204,1.608505e-02,0,NaN,0,7.342731e-03,0,8.109549e-01,0,2.686293e-02,0,6.800617e-01,0,7.342731e-03,7.579950e-04,4.781975e-12,NaN,6.085817e-04,3.892044e-01,2.654424e-09,1.641635e-01
5,,,3,85569068,,,3.371242,6.922105,4.436806,3.446769,-0.829692,5.951282,1.399182,1.591118e-02,0,3.162659e-02,0,7.280114e-03,0,8.216385e-01,0,2.662521e-02,0,6.787535e-01,0,7.280114e-03,7.483009e-04,4.449797e-12,9.130357e-06,5.673327e-04,4.067132e-01,2.660510e-09,1.617584e-01
5,,,3,85575797,,,3.369724,6.928217,NaN,3.428329,-0.842852,5.949029,1.389482,1.598559e-02,0,NaN,0,7.306911e-03,0,8.163476e-01,0,2.672694e-02,0,6.803434e-01,0,7.306911e-03,7.524342e-04,4.261786e-12,NaN,6.073082e-04,3.993112e-01,2.697370e-09,1.646861e-01
5,,,3,85578035,,,3.400088,6.922923,4.444153,3.470702,-0.827634,5.980207,1.369832,1.449134e-02,0,2.886832e-02,0,6.768797e-03,1,8.224621e-01,0,2.468404e-02,0,6.835429e-01,0,6.768797e-03,6.736412e-04,4.424174e-12,8.823881e-06,5.190989e-04,4.078778e-01,2.228536e-09,1.707395e-01
5,,,3,85578841,,,3.391493,6.927755,NaN,3.469128,-0.822174,5.970182,1.370500,1.491549e-02,0,NaN,0,6.921545e-03,0,8.246433e-01,0,2.526393e-02,0,6.834346e-01,0,6.921545e-03,6.951286e-04,4.275701e-12,NaN,5.221499e-04,4.109778e-01,2.369895e-09,1.705310e-01
5,,,3,85582231,,,3.372772,6.911500,NaN,3.452269,-0.782548,6.024309,1.304314,1.583614e-02,0,NaN,0,7.253090e-03,0,8.402727e-01,0,2.652261e-02,0,6.940030e-01,0,7.253090e-03,7.441555e-04,4.795542e-12,NaN,5.558931e-04,4.338925e-01,1.698339e-09,1.921264e-01
5,,,3,85583608,,,3.346764,6.868332,4.468039,3.405641,-0.935058,6.093830,1.197850,1.718777e-02,0,3.409382e-02,0,7.733536e-03,0,7.895848e-01,0,2.833731e-02,0,7.128623e-01,0,7.733536e-03,8.176065e-04,6.495689e-12,7.893997e-06,6.600897e-04,3.497586e-01,1.102408e-09,2.309756e-01
5,,,3,85594428,,,3.370103,6.897570,4.338378,3.427874,-0.765259,6.004363,1.325572,1.596704e-02,0,3.173512e-02,0,7.300233e-03,0,8.469821e-01,0,2.670159e-02,0,6.906440e-01,0,7.300233e-03,7.514020e-04,5.289958e-12,1.435382e-05,6.083271e-04,4.441173e-01,1.920840e-09,1.849815e-01
5,,,3,85597135,,,3.356447,6.930013,4.365101,3.424608,-0.788393,6.038235,1.335021,1.663531e-02,0,3.303336e-02,0,7.540894e-03,0,8.379894e-01,0,2.761523e-02,0,6.891401e-01,0,7.540894e-03,7.895093e-04,4.208019e-12,1.270643e-05,6.156862e-04,4.304669e-01,1.558088e-09,1.818693e-01
5,,,3,85599067,,,3.354345,6.929345,NaN,3.424497,-0.817935,6.036972,1.335021,1.674216e-02,0,NaN,0,7.579040e-03,0,8.263320e-01,0,2.775957e-02,0,6.891401e-01,0,7.579040e-03,7.955315e-04,4.227950e-12,NaN,6.159391e-04,4.133943e-01,1.570327e-09,1.818693e-01
5,,,3,85599588,,,3.355113,6.908725,NaN,3.406246,-0.790841,6.005321,1.308576,1.670046e-02,0,NaN,0,7.564356e-03,0,8.370309e-01,0,2.770430e-02,0,6.933323e-01,0,7.564356e-03,7.933262e-04,4.890277e-12,NaN,6.586282e-04,4.290369e-01,1.909543e-09,1.906782e-01
5,,,3,85599601,,,3.355113,6.908725,NaN,3.406246,-0.788393,6.005321,1.308576,1.670046e-02,0,NaN,0,7.564356e-03,0,8.379894e-01,0,2.770430e-02,0,6.933323e-01,0,7.564356e-03,7.933262e-04,4.890277e-12,NaN,6.586282e-04,4.304669e-01,1.909543e-09,1.906782e-01
5,,,3,85603262,,,3.367097,6.864879,4.422736,3.401459,-0.846353,5.951481,1.214564,1.611431e-02,0,3.202121e-02,0,7.353267e-03,0,8.150999e-01,0,2.690292e-02,0,7.098643e-01,0,7.353267e-03,7.596384e-04,6.654742e-12,9.745869e-06,6.702710e-04,3.973556e-01,2.657264e-09,2.245323e-01
5,,,3,85603309,,,3.310148,6.911615,4.433508,3.436959,-0.840585,6.024309,1.356936,1.932785e-02,0,3.819316e-02,0,8.475517e-03,0,8.172619e-01,0,3.111199e-02,0,6.856269e-01,0,8.475517e-03,9.324649e-04,4.791667e-12,9.271188e-06,5.882857e-04,4.005806e-01,1.698339e-09,1.748016e-01
5,,,3,85603371,,,3.380214,6.862809,4.401818,3.415357,-0.827805,5.941412,1.219679,1.547070e-02,0,3.077088e-02,0,7.121486e-03,0,8.223936e-01,0,2.602299e-02,0,7.089422e-01,0,7.121486e-03,7.242939e-04,6.751929e-12,1.073478e-05,6.369836e-04,4.077808e-01,2.825769e-09,2.225868e-01
5,,,3,85603462,,,3.319317,6.866790,NaN,3.428443,-0.935654,6.117271,1.218060,1.879388e-02,0,NaN,0,8.290387e-03,0,7.894092e-01,0,3.041969e-02,0,7.092343e-01,0,8.290387e-03,9.023782e-04,6.566283e-12,NaN,6.070533e-04,3.494516e-01,9.519149e-10,2.232013e-01
5,,,3,85603643,,,3.312540,6.881495,4.554649,3.441431,-0.932481,6.100355,1.198637,1.918871e-02,0,3.792664e-02,0,8.427276e-03,0,7.903434e-01,0,3.093159e-02,0,7.127216e-01,0,8.427276e-03,9.245297e-04,5.922753e-12,5.247321e-06,5.786468e-04,3.510879e-01,1.058329e-09,2.306690e-01
5,,,3,85610855,,,3.361371,6.844918,NaN,3.321139,-0.854292,5.967968,1.371838,1.639459e-02,0,NaN,0,8.409883e-03,0,8.128669e-01,0,2.728612e-02,0,6.832176e-01,0,8.409883e-03,7.755645e-04,7.651967e-12,NaN,8.965095e-04,3.929434e-01,2.402263e-09,1.701139e-01
5,,,3,85614034,,,3.283362,7.003487,NaN,3.389546,-0.844076,6.085725,1.338838,2.096302e-02,0,NaN,0,9.036177e-03,0,8.156814e-01,0,3.319879e-02,0,6.913270e-01,0,9.036177e-03,1.025768e-03,2.496683e-12,NaN,7.000842e-04,3.986271e-01,1.159650e-09,1.806234e-01
5,,,3,85614272,,,3.374005,6.849044,4.520033,3.321588,-0.823025,5.991789,1.335339,1.577564e-02,0,3.136329e-02,0,8.401467e-03,0,8.243039e-01,0,2.643990e-02,0,6.890895e-01,0,8.401467e-03,7.408303e-04,7.434525e-12,6.182986e-06,8.950681e-04,4.104940e-01,2.075454e-09,1.817655e-01
5,,,3,85630551,,,3.257296,6.879074,NaN,3.359442,-0.810027,6.086260,1.378907,2.276249e-02,0,NaN,0,9.637372e-03,0,8.284110e-01,0,3.541140e-02,0,6.954810e-01,0,9.637372e-03,1.124791e-03,6.024284e-12,NaN,7.810000e-04,4.179246e-01,1.155788e-09,1.679234e-01
5,,,3,85639672,,,3.291366,6.904492,NaN,3.389362,-0.857312,6.115099,1.406905,2.041770e-02,0,NaN,0,8.853374e-03,0,8.120146e-01,0,3.252501e-02,0,6.774826e-01,0,8.853374e-03,9.970225e-04,5.038336e-12,NaN,7.005555e-04,3.912722e-01,9.649719e-10,1.594555e-01
5,,,3,85648649,,,3.496937,6.287344,NaN,3.356095,-0.786928,5.892947,0.073406,1.046157e-02,0,NaN,0,7.754836e-03,0,8.385625e-01,0,1.889865e-02,0,1.000000e+00,0,7.754836e-03,4.706336e-04,3.229434e-10,NaN,7.905133e-04,4.313241e-01,3.793680e-09,9.414828e-01
6,,,3,114925815,,,3.297788,2.995529,NaN,3.272150,-0.686857,1.339092,-0.111514,6.432615e-02,0,NaN,0,9.369942e-03,0,8.765777e-01,0,5.994018e-01,0,1.000000e+00,0,9.369942e-03,9.744975e-04,2.739693e-03,NaN,1.067328e-03,4.921728e-01,1.805406e-01,9.112091e-01
6,,,3,114940210,,,3.364139,2.824210,1.006490,3.297437,-0.572066,1.220206,0.203522,9.732271e-02,0,8.026374e-01,0,8.852693e-03,0,9.254905e-01,0,6.318652e-01,0,1.000000e+00,0,8.852693e-03,7.678276e-04,4.739735e-03,3.141802e-01,9.757152e-04,5.672775e-01,2.223868e-01,8.387273e-01
6,,,3,115074415,,,3.706673,2.323793,1.709414,3.365346,-1.602786,1.450157,0.237788,2.396339e-01,0,5.136560e-01,0,7.601003e-03,0,6.619872e-01,0,5.717696e-01,0,1.000000e+00,0,7.601003e-03,2.100000e-04,2.013661e-02,8.737425e-02,7.644775e-04,1.089818e-01,1.470148e-01,8.120458e-01
6,,,3,115089790,,,3.772889,2.450381,1.605596,3.388258,-1.653774,1.550998,0.272611,1.990673e-01,0,5.564399e-01,0,7.218391e-03,0,6.524230e-01,0,5.475500e-01,0,9.976556e-01,0,7.218391e-03,1.613684e-04,1.427052e-02,1.083627e-01,7.033798e-04,9.817352e-02,1.209021e-01,7.851524e-01
6,,,3,115101578,,,3.787637,2.349542,NaN,3.621377,-1.635489,1.634137,0.140207,2.313182e-01,0,NaN,0,4.057558e-03,0,6.560430e-01,0,5.272532e-01,0,1.000000e+00,0,4.057558e-03,1.520870e-04,1.879654e-02,NaN,2.930391e-04,1.019466e-01,1.022301e-01,8.884965e-01
6,,,3,115110187,,,3.880798,2.487824,NaN,3.684225,-1.424518,1.722511,0.044545,1.872934e-01,0,NaN,0,3.429278e-03,0,6.915055e-01,0,5.039633e-01,0,1.000000e+00,0,3.429278e-03,1.041145e-04,1.285274e-02,NaN,2.293996e-04,1.542966e-01,8.497705e-02,9.644701e-01
6,,,3,115110804,,,3.775529,2.524608,NaN,3.631696,-1.468795,1.749233,0.096784,1.762625e-01,0,NaN,0,3.949805e-03,0,6.846364e-01,0,4.967143e-01,0,1.000000e+00,0,3.949805e-03,1.596682e-04,1.158274e-02,NaN,2.815645e-04,1.418885e-01,8.025076e-02,9.228982e-01
6,,,3,115112834,,,3.882479,2.561178,NaN,3.709333,-1.401124,1.760002,0.044064,1.653351e-01,0,NaN,0,3.197670e-03,0,6.951413e-01,0,4.936290e-01,0,1.000000e+00,0,3.197670e-03,1.033971e-04,1.043178e-02,NaN,2.078057e-04,1.611769e-01,7.840748e-02,9.648532e-01
6,,,3,115113777,,,3.849891,2.537605,1.740921,3.691043,-1.397417,1.744300,0.035295,1.723935e-01,0,5.004454e-01,0,3.366522e-03,0,6.957293e-01,0,4.980583e-01,0,1.000000e+00,0,3.366522e-03,1.181704e-04,1.116138e-02,8.169746e-02,2.233362e-04,1.622883e-01,8.110676e-02,9.718445e-01
6,,,3,115115397,,,3.803895,2.492570,1.699917,3.680394,-1.416264,1.718530,0.032293,1.857907e-01,0,5.176050e-01,0,3.464497e-03,0,6.927710e-01,0,5.050366e-01,0,1.000000e+00,0,3.464497e-03,1.424388e-04,1.268224e-02,8.914661e-02,2.328742e-04,1.566982e-01,8.570007e-02,9.742388e-01
6,,,3,115115932,,,3.894908,2.519099,NaN,3.738887,-1.457038,1.685892,0.272736,1.778975e-01,0,NaN,0,2.947363e-03,1,6.864736e-01,0,5.137695e-01,0,9.976309e-01,0,2.947363e-03,9.823619e-05,1.176554e-02,NaN,1.848367e-04,1.451059e-01,9.181661e-02,7.850564e-01
6,,,3,115125869,,,3.653478,2.054879,1.425057,3.463379,-1.835389,2.156711,-0.004081,3.296862e-01,0,6.290810e-01,0,6.041962e-03,0,6.090215e-01,0,3.510186e-01,0,1.000000e+00,0,6.041962e-03,2.587123e-04,3.989071e-02,1.541406e-01,5.334365e-04,6.644801e-02,3.102817e-02,9.967440e-01
6,,,3,115133008,,,3.599211,2.078573,NaN,3.434350,-1.827107,2.166222,-0.005641,3.218182e-01,0,NaN,0,6.475620e-03,0,6.112447e-01,0,3.469908e-01,0,1.000000e+00,0,6.475620e-03,3.191844e-04,3.765659e-02,NaN,5.939759e-04,6.768374e-02,3.029420e-02,9.954990e-01
6,,,3,115134513,,,3.600787,2.066626,1.354613,3.399306,-1.884873,2.151381,-0.054881,3.257910e-01,0,6.574524e-01,0,7.033093e-03,0,5.945334e-01,0,3.532699e-01,0,1.000000e+00,0,7.033093e-03,3.172560e-04,3.876942e-02,1.755408e-01,6.755703e-04,5.944700e-02,3.144614e-02,9.562334e-01
6,,,3,115138922,,,3.751775,2.178973,NaN,3.626633,-1.455985,1.706181,0.132205,2.880739e-01,0,NaN,0,4.002709e-03,0,6.866377e-01,0,5.083545e-01,0,1.000000e+00,0,4.002709e-03,1.755870e-04,2.933368e-02,NaN,2.871409e-04,1.453969e-01,8.797445e-02,8.948223e-01
6,,,3,115142521,,,3.572989,2.069111,NaN,3.398142,-1.813723,2.114284,0.085330,3.249660e-01,0,NaN,0,7.052640e-03,0,6.148219e-01,0,3.686418e-01,0,1.000000e+00,0,7.052640e-03,3.529300e-04,3.853566e-02,NaN,6.784512e-04,6.972039e-02,3.449104e-02,9.319993e-01
6,,,3,115143065,,,3.554904,2.069423,NaN,3.393087,-1.808509,2.008380,0.021966,3.248624e-01,0,NaN,0,7.137462e-03,0,6.162104e-01,0,4.106442e-01,0,1.000000e+00,0,7.137462e-03,3.781168e-04,3.850642e-02,NaN,6.910959e-04,7.052734e-02,4.460297e-02,9.824749e-01
6,,,3,115143941,,,3.569065,2.060633,1.394119,3.394125,-1.792074,2.027665,0.001200,3.277773e-01,0,6.414725e-01,0,7.120056e-03,0,6.205682e-01,0,4.032811e-01,0,1.000000e+00,0,7.120056e-03,3.582576e-04,3.933811e-02,1.632817e-01,6.884820e-04,7.312107e-02,4.259447e-02,9.990423e-01
6,,,3,115144685,,,3.585677,2.062161,1.441115,3.399501,-1.829846,2.032108,-0.005761,3.272713e-01,0,6.227637e-01,0,7.029823e-03,0,6.105103e-01,0,4.015771e-01,0,1.000000e+00,0,7.029823e-03,3.362050e-04,3.919244e-02,1.495521e-01,6.750895e-04,6.727300e-02,4.214268e-02,9.954033e-01
7,,,3,135111050,,,-3.588232,-3.604408,-1.285575,-1.370534,-0.581163,-1.136454,1.309492,9.919736e-03,1,6.846862e-01,0,2.311569e-01,0,9.216480e-01,0,6.564631e-01,0,6.931879e-01,0,9.919736e-03,3.329277e-04,3.128653e-04,1.985914e-01,1.705201e-01,5.611303e-01,2.557668e-01,1.903677e-01
8,,,3,140104289,,,-3.455455,-1.144244,NaN,-3.959291,-0.995487,-2.097643,-0.929011,6.089343e-01,0,NaN,0,5.871894e-03,0,7.714892e-01,0,3.754658e-01,0,7.764323e-01,0,5.871894e-03,5.493657e-04,2.525223e-01,NaN,7.517248e-05,3.194995e-01,3.593672e-02,3.528834e-01
8,,,3,140109385,,,-3.371090,-1.136210,NaN,-3.957905,-0.838672,-1.444072,-1.224556,6.118542e-01,0,NaN,0,7.282804e-03,0,8.180325e-01,0,5.732055e-01,0,7.080606e-01,0,7.282804e-03,7.487148e-04,2.558687e-01,NaN,7.560990e-05,4.016537e-01,1.487188e-01,2.207426e-01
8,,,3,140111799,,,-3.348108,-1.288436,NaN,-3.973664,-0.846178,-1.493905,-1.279859,5.639158e-01,0,NaN,0,7.706173e-03,0,8.151491e-01,0,5.613315e-01,0,6.979185e-01,0,7.706173e-03,8.136526e-04,1.975942e-01,NaN,7.077548e-05,3.974535e-01,1.352006e-01,2.005946e-01
8,,,3,140111944,,,-3.376966,-1.236161,NaN,-3.942523,-0.801701,-1.550606,-1.134617,5.803901e-01,0,NaN,0,7.178954e-03,0,8.327623e-01,0,5.476440e-01,0,7.247392e-01,0,7.178954e-03,7.329009e-04,2.163987e-01,NaN,8.062899e-05,4.227262e-01,1.209960e-01,2.565360e-01
8,,,3,140112388,,,-3.416709,-1.256985,NaN,-3.949810,-0.809860,-1.526148,-1.093071,5.737917e-01,0,NaN,0,6.472447e-03,0,8.295380e-01,0,5.535084e-01,0,7.342666e-01,0,6.472447e-03,6.338291e-04,2.087591e-01,NaN,7.821339e-05,4.180208e-01,1.269729e-01,2.743626e-01
8,,,3,140114278,,,3.551782,1.277575,0.130130,3.958777,0.695886,1.608819,0.835086,5.672025e-01,0,1.000000e+00,0,4.543780e-03,1,8.732382e-01,0,5.335101e-01,0,8.046393e-01,0,4.543780e-03,3.826317e-04,2.013994e-01,8.964638e-01,7.533465e-05,4.864999e-01,1.076559e-01,4.036690e-01
8,,,3,140114551,,,-3.389468,-1.172578,0.048043,-3.957727,-0.655779,-1.558054,-1.045609,6.001313e-01,0,1.000000e+00,0,6.957493e-03,0,8.893102e-01,0,5.458553e-01,0,7.449077e-01,0,6.957493e-03,7.002844e-04,2.409651e-01,9.616817e-01,7.566650e-05,5.119660e-01,1.192205e-01,2.957415e-01
8,,,3,140115117,,,-3.453786,-1.231272,NaN,-3.917352,-0.686712,-1.525400,-1.039531,5.819299e-01,0,NaN,0,5.897749e-03,0,8.766312e-01,0,5.536912e-01,0,7.462518e-01,0,5.897749e-03,5.527764e-04,2.182213e-01,NaN,8.952702e-05,4.922641e-01,1.271593e-01,2.985579e-01
8,,,3,140118043,,,-3.357153,-1.161107,NaN,-3.875345,-0.706337,-1.506078,-0.954511,6.036277e-01,0,NaN,0,7.528476e-03,0,8.693508e-01,0,5.583909e-01,0,7.688596e-01,0,7.528476e-03,7.874965e-04,2.455982e-01,NaN,1.064738e-04,4.799787e-01,1.320471e-01,3.398251e-01
8,,,3,140122217,,,-3.494252,-1.346105,NaN,-4.072583,-0.610933,-1.673277,-0.837899,5.472955e-01,0,NaN,0,5.299471e-03,0,9.089227e-01,0,5.171137e-01,0,8.035104e-01,0,5.299471e-03,4.753916e-04,1.782686e-01,NaN,4.649470e-05,5.412439e-01,9.427280e-02,4.020876e-01
8,,,3,140124616,,,-3.432726,-1.346105,-0.088229,-4.085320,-0.580250,-1.586370,-0.935952,5.472955e-01,0,1.000000e+00,0,6.223078e-03,0,9.220347e-01,0,5.390022e-01,0,7.743812e-01,0,6.223078e-03,5.975464e-04,1.782686e-01,9.296949e-01,4.401615e-05,5.617458e-01,1.126553e-01,3.492977e-01
8,,,3,140127945,,,-3.437770,-1.269017,-0.162411,-4.101051,-0.619150,-1.631095,-0.894639,5.699491e-01,0,1.000000e+00,0,6.145316e-03,0,9.053690e-01,0,5.280085e-01,0,7.864761e-01,0,6.145316e-03,5.865259e-04,2.044351e-01,8.709819e-01,4.112783e-05,5.358174e-01,1.028702e-01,3.709801e-01
8,,,3,140128527,,,-3.427300,-1.259972,-0.195852,-4.085840,-0.610799,-1.619556,-0.900972,5.728398e-01,0,1.000000e+00,0,6.306604e-03,0,9.089806e-01,0,5.308650e-01,0,7.846396e-01,0,6.306604e-03,6.096143e-04,2.076795e-01,8.447258e-01,4.391758e-05,5.413328e-01,1.053278e-01,3.676033e-01
